carrera,materia,comision,dia,hora_inicio,hora_fin,tipo,aula,docente
IE3,Álgebra y Geometría Analítica,Com 3,Miércoles,19:00,21:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Lic. Bettiana Rafael
IE3,Álgebra y Geometría Analítica,Com 3,Viernes,16:00,18:00,Teórico/Práctica,Aula 16 - Pab. Reforma del 18,Lic. Bettiana Rafael
IE3,Álgebra y Geometría Analítica,Com 4,Lunes,10:00,12:00,Teórico/Práctica,Aula 26 - Pab. Reforma del 18,Prof. Cristina Basualdo
IE3,Álgebra y Geometría Analítica,Com 4,Jueves,8:00,10:00,Teórico/Práctica,Aula 26 - Pab. Reforma del 18,Prof. Cristina Basualdo
IE3,Análisis Matemático I,Com 1,Miércoles,8:00,10:00,Teórica,Aula 16 - Pab. Reforma del 18,Prof. Lidia de Pablo
IE3,Análisis Matemático I,Com 1,Martes,8:00,11:00,Práctica,Aula 22 - Pab. Reforma del 18,Prof. D. Coria
IE3,Análisis Matemático I,Com 2,Martes,15:00,17:00,Teórica,Aula 23 - Pab. Reforma del 18,Ing. P. Saracho
IE3,Análisis Matemático I,Com 2,Jueves,15:00,18:00,Práctica,Aula 22 - Pab. Reforma del 18,Prof. Viviana Yanucci
IE3,Análisis Matemático I,Com 3,Lunes,10:00,12:00,Teórica,Aula 16 - Pab. Reforma del 18,Ing. Ariel Gerez
IE3,Análisis Matemático I,Com 3,Miércoles,10:00,13:00,Práctica,Aula 16 - Pab. Reforma del 18,Prof. A. Torres
IE3,Sistemas de Representación I,Com 1,Lunes,10:00,12:00,Teórica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Allal Tomas
IE3,Sistemas de Representación I,Com 1,Miércoles,10:00,12:00,Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Guzman Jose M.
IE3,Sistemas de Representación I,Com 2,Lunes,19:00,21:00,Teórica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Perez Molina Raul
IE3,Sistemas de Representación I,Com 2,Miércoles,19:00,21:00,Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Reynoso Ariel
IE3,Informática General,Com 1,Jueves,10:00,12:00,Teórica,Aula 16 - Pab. Reforma del 18,Prof. Unzaga
IE3,Informática General,Com 1,Viernes,10:00,13:00,Práctica,Aula 22 - Pab. Reforma del 18,Prof. Carlos Galván
IE3,Informática General,Com 2,Jueves,13:00,15:00,Teórica,Aula 22 - Pab. Reforma del 18,Prof. Carmen Silva
IE3,Informática General,Com 2,Lunes,14:00,17:00,Práctica,Aula 16 - Pab. Reforma del 18,Ing. Montalvetti Mario
IE3,Informática General,Com 3,Martes,12:00,14:00,Teórica,Aula 16 - Pab. Reforma del 18,Prof. Mabel Sosa
IE3,Informática General,Com 3,Miércoles,14:00,17:00,Práctica,Aula 16 - Pab. Reforma del 18,Ing. Montalvetti Mario
IC,Ingeniería y Sociedad,Única,Lunes,12:00,14:00,Teórico-Práctica,Aula 16 - Pab. Reforma del 18,Ing. Héctor Paz / Ing. Teresita Pilán / Ing. Marcia Rizo Patrón
IV,Ingeniería y Sociedad,Única,Lunes,12:00,14:00,Teórico-Práctica,Aula 16 - Pab. Reforma del 18,Ing. Héctor Paz / Ing. Teresita Pilán / Ing. Marcia Rizo Patrón
IH,Ingeniería y Sociedad,Única,Lunes,12:00,14:00,Teórico-Práctica,Aula 16 - Pab. Reforma del 18,Ing. Héctor Paz / Ing. Teresita Pilán / Ing. Marcia Rizo Patrón
